client_name,age,employ,income,debtinc,creddebt,othdebt,default,kashf_ratib,sijil_tijari,ouqoud,damanat,wathaiq_zoboun,card_brand,card_type,credit_limit,has_chip,card_on_dark_web,MaritalStatus,EducationLevel,EmploymentStatus,HomeOwnershipStatus,BankruptcyHistory
طارق بلعيد,35,13,50,17.6,0.768768,6.623232,0,true,true,true,true,true,Visa,Debit,$35649,YES,No,Married,High School,Employed,Mortgage,0
ليلى شريف,40,15,138.0,4.1,1.222128,4.435872,0,true,true,true,true,true,Visa,Debit,$2181,YES,No,Widowed,Associate,Employed,Rent,0
SPA ElDjazaïr Tech,28,5,50,14.7,0.573888,1.778112,0,true,true,true,true,true,Visa,Credit,$14400,YES,No,Single,Master,Employed,Mortgage,0
حسيبة خيذر,30,12,50,7,1.2488,1.5512,0,true,true,true,true,true,Visa,Debit,$19746,YES,No,Single,Associate,Employed,Mortgage,0
SNC Tlemcen Immo,25,5,50,2.3,0.043792,0.347208,0,true,true,true,true,true,Discover,Credit,$11200,YES,No,Single,Associate,Employed,Mortgage,0
ليلى شريف,41,14,50,1.7,0.353056,0.394944,0,true,true,true,true,true,Mastercard,Debit,$2143,YES,No,Married,Master,Unemployed,Mortgage,0
يوسف قادري,50,25,94.0,5.3,1.733736,3.248264,0,true,true,true,true,true,Visa,Credit,$12100,YES,No,Widowed,Associate,Employed,Other,0
حسيبة خيذر,29,5,50,21.2,2.330092,3.817908,0,true,true,true,true,true,Mastercard,Debit,$12607,YES,No,Married,Master,Self-Employed,Rent,0
زينب عماري,25,5,50,7.3,0.024528,1.143472,0,true,true,true,true,true,Visa,Debit,$19483,YES,No,Divorced,Master,Employed,Mortgage,0
ليلى شريف,41,15,120.0,2.9,2.65872,0.82128,0,true,true,true,true,true,Mastercard,Debit,$39114,YES,No,Married,High School,Employed,Mortgage,0
SNC Tlemcen Immo,53,5,78.0,17.3,6.935916,6.558084,0,true,true,true,true,true,Visa,Credit,$11000,YES,No,Divorced,Bachelor,Self-Employed,Rent,0
SNC Tlemcen Immo,38,5,56.0,1.6,0.441728,0.454272,0,true,true,true,true,true,Visa,Credit,$36900,YES,No,Married,Bachelor,Employed,Rent,0
عمر حشاني,47,29,169.0,2.2,0.349492,3.368508,0,true,true,true,true,true,Mastercard,Credit,$7200,YES,No,Married,Master,Employed,Mortgage,0
ليلى شريف,36,11,50,1.3,0.272636,0.364364,0,true,true,true,true,true,Visa,Debit (Prepaid),$1000,YES,No,Married,High School,Employed,Rent,0
زينب عماري,35,16,50,17.2,4.212968,2.151032,0,true,true,true,true,true,Visa,Debit,$23137,YES,No,Divorced,Associate,Unemployed,Other,0
عمر حشاني,40,8,57.0,5.6,0.8778,2.3142,0,true,true,true,true,true,Mastercard,Credit,$4000,YES,No,Married,High School,Employed,Mortgage,0
SNC Tlemcen Immo,45,5,50,5.4,0.443178,1.122822,0,true,true,true,true,true,Visa,Debit,$3942,YES,No,Single,High School,Employed,Mortgage,0
كريم بوزيدي,44,7,78.0,10.5,3.15315,5.03685,0,true,true,true,true,true,Visa,Debit,$13569,YES,No,Single,Bachelor,Employed,Mortgage,0
SPA ElDjazaïr Tech,40,9,50,17,4.8807,0.7293,0,true,true,true,true,true,Mastercard,Debit,$22248,YES,No,Divorced,Bachelor,Self-Employed,Own,0
عبد الله منصور,48,5,50,10.8,0.849528,1.202472,0,true,true,true,true,true,Mastercard,Credit,$10900,YES,No,Married,Associate,Employed,Mortgage,0
زينب عماري,47,5,50,15.4,0.067914,3.166086,0,true,true,true,true,true,Mastercard,Debit,$16747,YES,No,Married,Master,Employed,Mortgage,0
فاطمة الزهراء,37,10,123.0,17.3,3.021618,18.257382,0,true,true,true,true,true,Mastercard,Credit,$10600,YES,No,Single,Bachelor,Unemployed,Rent,0
