client_name,age,employ,income,debtinc,creddebt,othdebt,default,kashf_ratib,sijil_tijari,ouqoud,damanat,wathaiq_zoboun,card_brand,card_type,credit_limit,has_chip,card_on_dark_web,MaritalStatus,EducationLevel,EmploymentStatus,HomeOwnershipStatus,BankruptcyHistory
طارق بلعيد,35,13,42,47.6,1.537536,13.246464,1,false,false,true,true,true,Visa,Debit,$35649,YES,No,Married,High School,Employed,Mortgage,1
ليلى شريف,40,15,138,34.1,2.444256,8.871744,1,true,false,true,true,true,Visa,Debit,$2181,YES,No,Widowed,Associate,Employed,Rent,0
SPA ElDjazaïr Tech,28,1,16,44.7,1.147776,3.556224,1,true,true,true,true,true,Visa,Credit,$14400,YES,No,Single,Master,Employed,Mortgage,1
حسيبة خيذر,30,12,40,37.0,2.4976,3.1024,1,false,false,true,true,true,Visa,Debit,$19746,YES,No,Single,Associate,Employed,Mortgage,1
SNC Tlemcen Immo,20,0,17,32.3,0.087584,0.694416,1,false,true,true,false,true,Discover,Credit,$11200,YES,No,Single,Associate,Employed,Mortgage,0
ليلى شريف,41,14,44,31.7,0.706112,0.789888,0,false,false,true,true,true,Mastercard,Debit,$2143,YES,No,Married,Master,Unemployed,Mortgage,1
يوسف قادري,50,25,94,35.3,3.467472,6.496528,1,false,false,true,true,true,Visa,Credit,$12100,YES,No,Widowed,Associate,Employed,Other,0
حسيبة خيذر,29,1,29,51.2,4.660184,7.635816,1,true,false,true,false,true,Mastercard,Debit,$12607,YES,No,Married,Master,Self-Employed,Rent,1
زينب عماري,24,0,16,37.3,0.049056,2.286944,0,false,false,true,true,true,Visa,Debit,$19483,YES,No,Divorced,Master,Employed,Mortgage,1
ليلى شريف,41,15,120,32.9,5.31744,1.64256,0,true,false,true,true,true,Mastercard,Debit,$39114,YES,No,Married,High School,Employed,Mortgage,0
SNC Tlemcen Immo,53,5,78,47.3,13.871832,13.116168,1,false,true,true,true,true,Visa,Credit,$11000,YES,No,Divorced,Bachelor,Self-Employed,Rent,0
