Client_ID,Nom,Prenom,Type_Client,Statut_Client,Type_Compte,Age,Wilaya,Secteur_Activite,Type_Credit,Anciennete_Client_Ans,Revenu_Mensuel_DZD,Charges_Mensuelles_DZD,Montant_Credit_DZD,Echeance_Mensuelle_DZD,Duree_Credit_Mois,Taux_Interet_Pct,Utilisation_Credit_Pct,Historique_Paiement,Retards_30J,Retards_90J,Jours_Impayes,Decouvert_90J,Volatilite_Cashflow_Pct,Solde_Moyen_DZD,Garantie_Couverture_Pct
BNA000001,Yahiaoui,Nassim,Particulier,Actif,Compte professionnel,36,Sétif,Commerce,Crédit d'investissement,4.0,83300.0,43700.0,471000.0,7600.0,72,5.23,86.6,0.399,1,2,15,0,64.4,-162000.0,65.6
BNA000002,Ferhat,Sofiane,PME,Actif,Compte courant,41,Béjaïa,Transport,Crédit immobilier,4.7,1999400.0,1402500.0,12185000.0,299900.0,48,8.43,85.6,0.658,3,2,15,2,49.6,-2839500.0,79.1
BNA000003,Mokhtar,Hichem,Particulier,Actif,Compte entreprise,42,Annaba,Agriculture,Crédit équipement,11.4,81000.0,32100.0,1277000.0,58900.0,24,9.87,26.5,0.512,1,0,0,1,14.5,214200.0,62.4
BNA000004,Mansouri,Anis,Particulier,Actif,Compte épargne,61,Biskra,Commerce,Crédit personnel,2.5,55100.0,27700.0,415000.0,12300.0,36,4.31,22.9,0.812,0,1,0,0,31.3,10600.0,144.6
BNA000005,Rahmani,Mohamed,Particulier,Actif,Compte épargne,36,Oran,Santé,Crédit immobilier,8.4,106400.0,41700.0,327000.0,9500.0,36,3.21,75.7,0.404,2,1,5,2,52.5,102800.0,40.0
BNA000006,Saidi,Bilal,Professionnel,Actif,Compte entreprise,55,Djelfa,Transport,Crédit personnel,6.2,138000.0,63200.0,793000.0,18300.0,48,5.05,72.8,0.257,3,0,90,2,17.4,-26900.0,105.7
BNA000007,Saidi,Hichem,PME,Actif,Compte entreprise,50,Djelfa,Agriculture,Crédit équipement,10.3,191200.0,134600.0,1456000.0,44200.0,36,5.89,75.8,0.482,3,0,15,3,34.6,209800.0,96.8
BNA000008,Belkacem,Amine,Grande Entreprise,Actif,Compte entreprise,61,Djelfa,Pharmacie,Crédit personnel,15.1,1605400.0,1109400.0,5845000.0,80800.0,84,4.33,83.3,0.124,1,1,150,1,65.5,-2536300.0,69.4
BNA000009,Benyahia,Ibrahim,Particulier,Actif,Compte courant,29,Béjaïa,Pharmacie,Crédit d'investissement,6.4,43900.0,23400.0,1071000.0,16900.0,84,8.43,80.7,0.395,3,1,90,2,44.0,-11200.0,69.4
BNA000010,Boudiaf,Yacine,PME,Actif,Compte courant,31,Annaba,BTPH,Crédit d'exploitation,9.3,873100.0,248800.0,8204000.0,704100.0,12,5.48,48.1,0.562,3,0,10,0,78.8,-289800.0,66.1
